region,avg_total_cases,is_hotspot
North Kyoga,14407.908333333333,1
Rwizi,14343.641666666666,1
KMP North,14265.383333333333,1
KMP South,12859.55,1
Albertine,11566.275,1
Greater Masaka,11525.558333333332,1
KMP East,9884.5,0
East Kyoga,9265.133333333333,0
Rwenzori West,8966.241666666667,0
Elgon,7984.583333333333,0
West Nile,7061.841666666666,0
Kigezi,6790.783333333334,0
Busoga East,6742.308333333333,0
Busoga North,6484.766666666666,0
Wamala,6108.566666666667,0
Sipi,6092.141666666666,0
Savannah,6008.141666666666,0
Greater Bushenyi,5693.358333333334,0
Aswa West,5624.291666666667,0
Bukedi South,5585.775,0
Sezibwa,5320.208333333333,0
Katonga,5237.55,0
Mt Moroto,4477.075,0
Aswa East,4111.666666666667,0
Bukedi North,4066.19,0
North West Nile,3892.325,0
Kiira,3800.0583333333334,0
Rwenzori East,2882.7,0
Kidepo,2148.05,0
C.I.D Headquarters,1412.7583333333334,0
